q_Ainv,omega_meV,intensity_clean,intensity_noisy
0.3595238095238095,-15.714285714285714,1.7909826433368237,3.0
0.3595238095238095,-15.535714285714285,1.828889231890344,1.0
0.3595238095238095,-15.357142857142858,1.8694312888432405,0.0
0.3595238095238095,-15.178571428571429,1.9128611821814667,2.0
0.3595238095238095,-15.0,1.9594618344206767,0.0
0.3595238095238095,-14.821428571428571,2.0095511691548626,3.0
0.3595238095238095,-14.642857142857142,2.063487308135334,1.0
0.3595238095238095,-14.464285714285714,2.121674661433241,4.0
0.3595238095238095,-14.285714285714285,2.1845710827604026,1.0
0.3595238095238095,-14.107142857142858,2.252696297929511,2.0
0.3595238095238095,-13.928571428571429,2.326641858051506,2.0
0.3595238095238095,-13.75,2.4070829219167607,2.0
0.3595238095238095,-13.571428571428571,2.4947922357689265,5.0
0.3595238095238095,-13.392857142857142,2.5906567550924593,3.0
0.3595238095238095,-13.214285714285714,2.6956974436654155,4.0
0.3595238095238095,-13.035714285714285,2.811092890938852,4.0
0.3595238095238095,-12.857142857142858,2.938207509335249,4.0
0.3595238095238095,-12.678571428571429,3.078625204981784,3.0
0.3595238095238095,-12.5,3.234189549968068,3.0
0.3595238095238095,-12.321428571428571,3.4070516029066913,6.0
0.3595238095238095,-12.142857142857142,3.599726591591436,3.0
0.3595238095238095,-11.964285714285714,3.8151606212907567,6.0
0.3595238095238095,-11.785714285714285,4.056808288336928,9.0
0.3595238095238095,-11.607142857142858,4.328721359667187,4.0
0.3595238095238095,-11.428571428571429,4.635647182574924,8.0
0.3595238095238095,-11.25,4.983132644591218,5.0
0.3595238095238095,-11.071428571428571,5.377624380120704,4.0
0.3595238095238095,-10.892857142857142,5.82654704074821,7.0
0.3595238095238095,-10.714285714285714,6.338326559378434,2.0
0.3595238095238095,-10.535714285714285,6.9223012369670425,6.0
0.3595238095238095,-10.357142857142858,7.58842612815592,5.0
0.3595238095238095,-10.178571428571429,8.346621865229293,11.0
0.3595238095238095,-10.0,9.205547968481438,5.0
0.3595238095238095,-9.821428571428571,10.170506049680613,8.0
0.3595238095238095,-9.642857142857142,11.240144456266487,9.0
0.3595238095238095,-9.464285714285714,12.401746403673407,6.0
0.3595238095238095,-9.285714285714285,13.62532356030386,9.0
